generation,candidate,r2,n_events,n_valid,n_errors,n_fallback
0,baseline,0.011477244372504414,80,80,21,21
1,1,0.029815006381632703,80,80,24,24
1,2,0.01643477655485992,80,80,20,20
2,1,0.011898411434429934,80,80,21,21
2,2,0.011481267851180643,80,80,19,19
3,1,0.011320791487981041,80,80,23,23
3,2,0.011663566864490549,80,80,20,20
4,1,0.012511355955537762,80,80,21,21
4,2,0.0826731867189402,80,80,22,22
5,1,0.011097702287220401,80,80,20,20
5,2,0.011095771348593186,80,80,23,23
6,1,0.012089540231555729,80,80,20,20
6,2,0.04944015935098989,80,80,20,20
7,1,0.012976577912535925,80,80,20,20
7,2,0.013260636038643359,80,80,22,22
8,1,0.046617294900349826,80,80,19,19
8,2,0.013159120371840971,80,80,20,20
9,1,0.022658891582042373,80,80,16,16
9,2,0.039164265638816365,80,80,21,21
10,1,0.038076070259829176,80,80,21,21
10,2,0.016322185559006885,80,80,22,22
11,1,0.03643098003373746,80,80,17,79
11,2,0.026266615408036542,80,80,20,20
12,1,0.02277691238894375,80,80,19,19
12,2,0.02220391695416357,80,80,17,17
13,1,0.09390330772222422,80,80,20,20
13,2,0.06504240269879003,80,80,21,21
14,1,0.05450897041855918,80,80,18,18
14,2,0.08783556174489504,80,80,20,20
15,1,0.012336287854950556,80,80,19,19
15,2,0.01204544519512074,80,80,20,20
